status,name,tvg-logo,url,tvg-country,tvg-id,group-title,tvg-language,image
online,15tv Sabinas (XHSDD-TDT) (360p),https://i.imgur.com/EY0DlT0.png,https://hls.gvstream.live/telesistemas/15tv.stream/playlist.m3u8,MX,XHSDDTDT.mx,General,spa,
online,3 Sport HD ,,http://myott.top/stream/D3VTJRDNKLY/416.m3u8,,,Sports,,
online,70s Cinema,https://i.imgur.com/wk9Baz9.png,http://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5f4d878d3d19b30007d2e782/master.m3u8?terminate=false&deviceType=web&deviceMake=web&deviceModel=web&sid=96&deviceId=5f4d878d3d19b30007d2e782&deviceVersion=DNT&appVersion=DNT&deviceDNT=0&userId=&advertisingId=&deviceLat=&deviceLon=&app_name=&appName=web&buildVersion=&appStoreUrl=&architecture=&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false,,,VOD,,
online,80s Rewind,https://i.imgur.com/0FaLAhK.png,http://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5ca525b650be2571e3943c63/master.m3u8?terminate=false&deviceType=web&deviceMake=web&deviceModel=web&sid=95&deviceId=5ca525b650be2571e3943c63&deviceVersion=DNT&appVersion=DNT&deviceDNT=0&userId=&advertisingId=&deviceLat=&deviceLon=&app_name=&appName=web&buildVersion=&appStoreUrl=&architecture=&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false,,,VOD,,
online,8NTV (1080p),https://i.imgur.com/7ecgGIG.png,https://60417ddeaf0d9.streamlock.net/ntv/videontv/playlist.m3u8,MX,8NTV.mx,General,spa,
online,90s Throwback,https://i.imgur.com/sI1o3uK.png,http://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5f4d86f519358a00072b978e/master.m3u8?terminate=false&deviceType=web&deviceMake=web&deviceModel=web&sid=94&deviceId=5f4d86f519358a00072b978e&deviceVersion=DNT&appVersion=DNT&deviceDNT=0&userId=&advertisingId=&deviceLat=&deviceLon=&app_name=&appName=web&buildVersion=&appStoreUrl=&architecture=&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false,,,VOD,,
online,9XM,,http://d2q8p4pe5spbak.cloudfront.net/bpk-tv/9XM/9XM.isml/index.m3u8,,,,,
online,A Spor (1080p) [Not 24/7],https://i.imgur.com/ZhkZzLf.png,https://ythls.armelin.one/channel/UCJElRTCNEmLemgirqvsW63Q.m3u8,,ASpor.tr,Sports,,
online,A+ (480p),https://i.imgur.com/TWk9gfd.png,https://mdstrm.com/live-stream-playlist/60b56be1000ea50835fa1e63.m3u8,MX,APlus.mx,Culture,spa,
online,ABC (544p),https://i.imgur.com/I11J99B.png,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gx02,JP,JOAYDTV.jp,Undefined,jpn,
